0	Fields group	Management of the resource											Metadata of the artefact (description of the item)																																																				Link(s) to related resources			0
0													Artefact identity				Related entities			Artefact typology						Artefact format						Copper-plates set format								Date				Place of original exposition			Place of discovery							Place of preservation									Rights					0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the artefact	Designation	Alternative designation	Alternative designation	Identifier(s) of the text(s)	Identifier of the conglomerate artefact	Identifier of the monument	Artefact type 1	Reuse	Artefact type 2	Material type 1	Material type 2	Iconography and decoration	Height	Width	Depth	Diameter	Circumference	Weight	Plates (observed)	Plates (estimated)	Weight other	Binding information	Preservation of seal	Sealing technique	Height (or diam.) of the seal	Width (or diam.) of the seal	CE Date	Date range	History of the artefact	Remarks	Current Availability	Place of original exposition	Place of original exposition ID	Place of discovery	Place of discovery ID	Place of discovery coordinates	Discovery event 1	Date of discovery event 1	Discovery event 2	Date of discovery event 2	Collection or place of preservation	Collection ID or place of preservation ID	Inventory number	preservation event 1	preservation event 1	preservation event 2	preservation event 2	preservation event 3	preservation event 3	Institution or private person	Distribution rights of the artefact	Identifier of the surrogate	Identifier of the digital image	Link to external repository of images	0
89		CONARTVengiCalukya000089			daba	2024-01-12				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000089							documentary-copper--plate			metal-copper_alloy		Seal: sun within moon above legend, lotus below legend.	7	17.3					3			Ring hole 1.5 cm from left edge, vertically centred, diameter 1.3 cm.	yes	seal_on_binding_ring	4.5	4.5		673-682	2023-02-15 observed by daba		in_collection			Pamiḍimukkala, Krishna District, Andhra Pradesh		16.280527778139664, 80.86789903114483	find	1907-1916			Hyderabad, Telangana State Archaeology Museum	P.6415	P.6415	observed	2023-02-15						All rights reserved				89
90		CONARTVengiCalukya000090			daba	2024-02-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000090							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below. The base of the seal is fashioned into two vyāla heads swallowing the ring. Between the heads and the seal, there is a ring with knobs (or lotus petals?) all around. The ARIE report incorrectly states that there is a sun as well as a moon above the lotus on the seal face.	6.3	20					3			Ring hole 2.2 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	4.7	4.7		682-684	Probably discovered together with 00094 (at least, they were reported in the same year with the same findspot). 2023-02-09 observed by daba		in_collection			Duddukūru, Inkollu mandalam, Prakasam District, Andhra Pradesh		15.744572865485708, 80.17142971293862	find	1986-1990			Amaravati, ASI Archaeological Museum	1049	1049	observed	2023-02-09						All rights reserved				90
91		CONARTVengiCalukya000091			daba	2024-02-19				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000091							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, bracketed by two worn symbols; lotus below. The symbols on either side of the moon look like round dots, and were identified tentatively as starts in the ARIE report. They do not resemble the daggerlike marks found in some other seals of Maṅgi Yuvarāja.	6	19.4					3			Ring hole 3 cm from left edge, vertically centred, diameter 1.2 cm.	yes	seal_on_binding_ring	4.5	4.5		682-706	Discovered together with 00003 "in October last" according to ARIE 1907-1908 (most likely 1906) while digging a hole in a vacant house site. 2023-02-06 observed by daba	Plate 3 is broken along a roughly vertical line about 4.5 cm from the left (ring side). The broken-off part is present.	in_collection			Timmāpuram, Sarvasiddhi Taluk, Visakhapatnam District, Andhra Pradesh		17.43342446086503, 82.75163439357617	find	1905-1907			Chennai, Government Museum	Cha.E-2	Cha.E-2	observed	2023-02-06 						All rights reserved				91
92		CONARTVengiCalukya000092			daba	2024-02-26				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000092							documentary-copper--plate			metal-copper_alloy		Seal: Varāha above legend, lotus below. Most of the lotus and some of the upper edge on the proper right are lost to damage. According to the museum catalogue, sun and moon are faintly visible above Varāha; I cannot confirm this.	6.1	15.2					3			Ring hole 1.6 cm from left edge, vertically centred, diameter 1 cm.	yes	seal_on_binding_ring	5	5		719-755	Presented to the ASI by J. Ramayya Pantulu of Madras. 2023-02-13 observed by daba  1976-06-03 taken over by ASP Museum from the ASP	Only plate 2 is fully extant, the others are only left ends with the ring hole. Plate 1 is 5 cm wide, and plate 3 is 4 cm wide. The remainder of plate 3 was still extant when the ARIE report was made, and the ASI estampage preserves its text. The Andhra Sahitya Parishad Museum’s catalogue entry of 3 June 1973 already describes the fragments with their present sizes, so the remaining part must have been mislaid between 1913 and 1974. The bottom of the seal is broken off. Recorded dimensions are for the projected entire seal; the extant part is about 4.5 cm high.	in_collection			unknown			find	1905-1914			Kakinada, ASP Museum	73.138	73.138	move	1976-06-03	observed	2023-02-13				All rights reserved				92
93		CONARTVengiCalukya000093			daba	2024-02-26				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000093							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	6	15					3			Ring hole 2.1 cm from left edge, vertically centred, diameter 1.7 cm.	yes	seal_on_binding_ring	4.1	4.1		719-755	No details known, museum catalogue entry not seen but should be available. I assume that 64 in the acquisition number means the year 1964, since items with 76 as the first two digits of the acquisition number are accompanied by catalogue entries from 1976. 2023-02-15 observed by daba		in_collection			unknown			find	1901-1964			Hyderabad, Telangana State Archaeology Museum	P.6414	P.6414	observed	2023-02-15						All rights reserved				93
94		CONARTVengiCalukya000094			daba	2024-03-18				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000094							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun above legend, lotus below.	8.3	21.1					3			Ring hole 3.4 cm from left edge, vertically centred, diameter 1.3 cm.	yes	seal_on_binding_ring	4.6	4.6		772-808	Probably discovered together with 00090 (at least, they were reported in the same year with the same findspot). 2023-02-09 observed by daba		in_collection			Duddukūru, Inkollu mandalam, Prakasam District, Andhra Pradesh		15.744572865485708, 80.17142971293862	find	1986-1990			Amaravati, ASI Archaeological Museum	1050	1050	observed	2023-02-09						All rights reserved				94
95		CONARTVengiCalukya000095			daba	2024-01-26				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000095							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha on proper left facing proper right, crescent moon and sun in centre partially behind Varāha's head; below legend: lotus.	9	24.5					5			Ring hole 2.7 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	8.8	8.8		849-892	The plates came to the ASI from Ramayya Pantulu. The edition in the Journal of the Telugu Academy may give information about the circumstances of discovery. 2023-02-15 observed by daba	The right-hand edge of plate 2 is cracked. One corner (the top right corner of 2r) was never found, while the other part (the bottom right corner of 2r) was broken away while an estampage was being made at the ASI. This chip is shown on the estampage, but was lost, or at least not kept with the rest of the set, when observed in 2023. One corner of plate 5 (the upper right when viewed on the recto) is now also missing, but still present on the estampage.	in_collection			unknown			find	1903-1912			Hyderabad, Telangana State Archaeology Museum	P.6419 (plates 1,2,4,5 and ring); P.6417 (plate 3)	P.6419 (plates 1,2,4,5 and ring); P.6417 (plate 3)	observed	2023-02-15						All rights reserved				95
96		CONARTVengiCalukya000096			daba	2023-12-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000096							documentary-copper--plate			metal-copper_alloy		Seal: moon above the legend and lotus below.	8.3	19.8				1210	3		Plate 1: 175 g; Plate 2: 245 g; Plate 3: 145 g (plates total without ring and seal: 565 g).	Ring hole 2 cm from left edge, vertically centred, diameter 1.3 cm.	yes	seal_on_binding_ring	4.4	4.4		673-682	The three Peddāpurappāḍu sets 00056, 00057 and 00096 were discovered together while digging for earth on the outskirts of the village, and obtained by Dr. Jasti Durgaprasad of Ramachandrapuram. 2023-02-13 observed by daba	The seal associated with this set at the Kakinada Museum in 2023 in fact belongs in all probability to 00057. Conversely, the seal associated at the same museum with 00110 cannot belong to that set and must be originally the seal of the present set. The seal metadata recorded here are based on this surmise.	in_collection			Peddāpurappāḍu		16.84386569526266, 82.15061348299032	find	1983			Kakinada, ASP Museum	no accession number	no accession number	observed	2023-02-13						All rights reserved				96
97		CONARTVengiCalukya000097			daba	2024-01-19				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000097							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha on proper left facing proper right, crescent moon and sun in centre partially behind Varāha's head; below legend: lotus.	7.3	21.3					5			Ring hole 2.5 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	5.5	5.5		849-892	1973: taken over by Kakinada museum from Andhra Sahitya Parishad; 2023-02-13 observed by daba	The first four plates with the ring were on exhibit in 2023, while the broken fifth plate was in storage without an accession number or other identification.	in_collection			unknown			find	1921-1970			Kakinada, ASP Museum	73.142	73.142	move	1973	observed	2023-02-13				All rights reserved				97
98		CONARTVengiCalukya000098			daba	2023-12-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000098							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below, effaced.	6.6	17.5				875	3			Ring hole 1.5 cm from left edge, vertically centred. This may have been measured to the edge (rather than the centre) of the hole.	yes	seal_on_binding_ring	3.6	3.6		641-673	Found together with x02-02 while digging a foundation in or shortly before 1963. purchased from the finder by Miriyala Ramakrishna for Yasvi Jogaravu, in or shortly before 1963		uncertain			Viravāda near Pithapuram (Pithapuram Taluk, East Godavari District, Andhra Pradesh)		17.11848455651598, 82.20895435869636	find	1959-1963						acquisition	1962-1963						All rights reserved				98
99		CONARTVengiCalukya000099			daba	2023-12-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000099							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	4	16.8				467	3			Ring hole 1 cm from left edge, vertically centred. This may have been measured to the edge (rather than the centre) of the hole.	yes	seal_on_binding_ring	3.8	3.8		641-673	Found together with x02-01 while digging a foundation in or shortly before 1963. purchased from the finder by Miriyala Ramakrishna for Yasvi Jogaravu, in or shortly before 1963		uncertain			Viravāda near Pithapuram (Pithapuram Taluk, East Godavari District, Andhra Pradesh)		17.11848455651598, 82.20895435869636	find	1959-1963						acquisition	1962-1963						All rights reserved				99
100		CONARTVengiCalukya000100			daba	2024-07-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000100							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha on proper left facing proper right, crescent moon on proper right, sun near centre above Varāha's head, aṅkuśa above Varāha's back; below legend: lotus.	12	25					5			Ring hole 6.4 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	9	9		892-921	The plates were found "in a corner of the Collector's office" in Masulipatam; nothing is known about the circumstances of their discovery. 2023-02-06 observed by daba		in_collection			Macilīpaṭṇam, Bandar Taluk, Krishna District, Andhra Pradesh		unknown	find	1864-1913			Chennai, Government Museum	Cha.E-8	Cha.E-8	observed	2023-02-06 						All rights reserved				100
101		CONARTVengiCalukya000101			daba	2024-10-02				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000101							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha on proper right facing proper left. In front of Varāha: moon on proper left, with sun inside the crescent. Below legend: aṅkuśa on proper left and lotus at bottom.	13.6	28.5					5			Ring hole 6.6 cm from left edge, vertically centred, diameter 2.1 cm.	yes	seal_on_binding_ring	9	9		921-927	00025, 00026 and 00101 were sent to the ASI together from Vinnakota by M. Venkataramanayya, but it is nowhere stated that they were discovered together, and no discovery circumstances have been reported. 2023-02-15 observed by daba		in_collection			Vinnakōṭa, Gudivada Taluk, Krishna District, Andhra Pradesh		16.370776083679885, 81.08897708343459	find	1956-1960			Hyderabad, Telangana State Archaeology Museum	P.5448	P.5448	observed	2023-02-15						All rights reserved				101
102		CONARTVengiCalukya000102			daba	2024-12-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000102							documentary-copper--plate			metal-copper_alloy		The seal is broken. It has a floral bracket at the bottom and the head of an animal, probably varāha, with a chauri at the top.	10	23.8				2473	5		Ring and seal: 700 g.	Ring hole 5.1 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	7	7		934-945	Discovery circumstances not reported. Amalapuram is apparently the residence of the owner and the findspot may be somewhere else.		uncertain			Amalāpuram		16.577309014812844, 82.00314021526113	find	1939			unknown (returned to owner Sri Vēmparla Suryanarayana Sastri, Telugu Pandit, Board High School, Amalapuram)										All rights reserved				102
103		CONARTVengiCalukya000103			daba	2024-10-16				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000103							documentary-copper--plate			metal-copper_alloy		Above legend: boar facing proper left; two cāmaras above and to the outside of the boar; a small round lump, probably the sun, at the top centre; crescent moon on proper right extremity, aṅkuśa on proper left extremity.below legend: lotus.	12	24.8					5			Ring hole 6.1 cm from left edge, vertically centred, diameter 1.9 cm.	yes	seal_on_binding_ring	6.6	6.6		1000-1011	No discovery information available, but museum records have not been checked carefully. Given the inventory number, the plates were presumably acquired by the museum in 2013. 2023-02-15 observed by daba		in_collection			unknown			find	2009-2013			Hyderabad, Telangana State Archaeology Museum	2013-1	2013-1	observed	2023-02-15						All rights reserved				103
104		CONARTVengiCalukya000104			daba	2025-08-28				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000104							documentary-copper--plate			metal-copper_alloy		Above legend: boar facing proper left; two cāmaras above and to the outside of the boar; sun and moon above the boar's back; below the cāmaras, at the level of the boar's legs, a drum on proper right and a conch on proper left. Below the legend: aṅkuśa in centre, with lotus flower viewed from above under it. Beside the lotus, on the proper right, a stalk ending in a flower or leaves; on the proper left, a device interpreted by Kielhorn as a throne.	12.7	26					5			Ring hole 4.2 cm from left edge, vertically centred, diameter 2.1 cm.	yes	seal_on_binding_ring	7	7		1048-1050	Discovery circumstances unknown; received by E. Hultzsch from the collector of Godavari District not later than 1896. 2023-02-06 observed by daba	The ring had already been cut when Hultzsch received the plates.	in_collection			unknown			find	1887-1896			Chennai, Government Museum	Cha.E-21									All rights reserved				104
105		CONARTVengiCalukya000105			daba	2025-09-29				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000105							documentary-copper--plate			metal-copper_alloy			6.3	18				432	3			Ring hole 2.5 cm from left edge, vertically centred, diameter 1.3 cm.	no	not applicable				719-755	Discovery circumstances not reported. Sent to the ASI by Somasekhara Sarma. 2023-02-06 NOT observed by daba in Chennai	The ring is present, but the seal is lost. The ARIE report says the plates seem to have had a rim originally, but it has been completely worn away.	in_collection			Ganapavaram village, Bhimavaram taluk, Krishna mandal		16.700020198596665, 81.46231045283434	find	1915-1924			Chennai, Government Museum										All rights reserved				105
106		CONARTVengiCalukya000106			daba	2025-11-21				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000106							documentary-copper--plate			metal-copper_alloy		Above legend: boar facing proper left. At top above boar: moon (damaged) in centre, sun on proper right, parasol on proper left. In front of boar: conch. Behind boar: drum. Below the legend: four-petalled lotus flower viewed from above at the centre. Aṅkuśa beneath the legend on proper left. Bud on stalk (sceptre?) below the aṅkuśa. Gateway on proper right.	13.3	23.5					3			Ring hole 4.7 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	6.5	6.5		1018-1061	Discovered while digging the foundations of a house. 2023-02-15 observed by daba		in_collection			Mandapeta, East Godavari District		16.862369164653167, 81.92709371233836	find	1938-1942			Hyderabad, Telangana State Archaeology Museum	P.7113									All rights reserved				106
107		CONARTVengiCalukya000107			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000107							documentary-copper--plate			metal-copper_alloy																											find																		
108		CONARTVengiCalukya000108			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000108							documentary-copper--plate			metal-copper_alloy																											find																		
109		CONARTVengiCalukya000109			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000109							documentary-copper--plate			metal-copper_alloy																											find																		
110		CONARTVengiCalukya000110			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000110							documentary-copper--plate			metal-copper_alloy																											find																		
111		CONARTVengiCalukya000111			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000111							documentary-copper--plate			metal-copper_alloy																											find																		
112		CONARTVengiCalukya000112			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000112							documentary-copper--plate			metal-copper_alloy																											find																		
113		CONARTVengiCalukya000113			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000113							documentary-copper--plate			metal-copper_alloy																											find																		
114		CONARTVengiCalukya000114			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000114							documentary-copper--plate			metal-copper_alloy																											find																		
115		CONARTVengiCalukya000115			daba					DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000115							documentary-copper--plate			metal-copper_alloy																											find																		
